iverilog -g2012 add_sub.sv Testbench.sv 
./a.out
x = 0.256861, y = 0.952432, out = 0.631099,  err = 47.812599 pct
x = 0.256861, y = 0.957603, out = 0.634525,  err = 47.752665 pct
x = 0.256861, y = 0.962803, out = 0.637971,  err = 47.692918 pct
x = 0.256861, y = 0.968031, out = 0.641435,  err = 47.633358 pct
x = 0.256861, y = 0.973287, out = 0.644918,  err = 47.573985 pct
x = 0.256861, y = 0.978572, out = 0.648420,  err = 47.514799 pct
x = 0.256861, y = 0.983886, out = 0.651941,  err = 47.455800 pct
x = 0.256861, y = 0.989228, out = 0.655481,  err = 47.396988 pct
x = 0.256861, y = 0.994599, out = 0.659040,  err = 47.338363 pct
x = 0.256861, y = 1.000000, out = 0.662618,  err = 47.279925 pct
x = 0.256861, y = 1.005430, out = 0.666216,  err = 47.221673 pct
x = 0.256861, y = 1.010889, out = 0.669834,  err = 47.163608 pct
x = 0.256861, y = 1.016378, out = 0.673471,  err = 47.105730 pct
x = 0.256861, y = 1.021897, out = 0.677128,  err = 47.048039 pct
x = 0.256861, y = 1.027446, out = 0.055181,  err = 95.703452 pct
x = 0.256861, y = 1.033025, out = 0.065267,  err = 94.940088 pct
x = 0.256861, y = 1.038634, out = 0.092803,  err = 92.836500 pct
x = 0.256861, y = 1.044274, out = 0.779502,  err = 40.090610 pct
x = 0.256861, y = 1.049944, out = 0.783735,  err = 40.026670 pct
x = 0.256861, y = 1.055645, out = 0.792269,  err = 39.636944 pct
x = 0.256861, y = 1.061377, out = 0.796571,  err = 39.573078 pct
x = 0.256861, y = 1.067140, out = 0.805245,  err = 39.180965 pct
x = 0.256861, y = 1.072935, out = 0.809618,  err = 39.117177 pct
x = 0.256861, y = 1.078761, out = 0.814014,  err = 39.053599 pct
x = 0.256861, y = 1.084618, out = 0.822878,  err = 38.658956 pct
x = 0.258256, y = 0.917004, out = 0.607624,  err = 48.298798 pct
x = 0.258256, y = 0.921983, out = 0.610923,  err = 48.237369 pct
x = 0.258256, y = 0.926990, out = 0.614240,  err = 48.176127 pct
x = 0.258256, y = 0.932023, out = 0.617576,  err = 48.115072 pct
x = 0.258256, y = 0.937084, out = 0.620929,  err = 48.054203 pct
x = 0.258256, y = 0.942172, out = 0.624300,  err = 47.993522 pct
x = 0.258256, y = 0.947288, out = 0.627690,  err = 47.933027 pct
x = 0.258256, y = 0.952432, out = 0.631099,  err = 47.872719 pct
x = 0.258256, y = 0.957603, out = 0.634525,  err = 47.812599 pct
x = 0.258256, y = 0.962803, out = 0.637971,  err = 47.752665 pct
x = 0.258256, y = 0.968031, out = 0.641435,  err = 47.692918 pct
x = 0.258256, y = 0.973287, out = 0.644918,  err = 47.633358 pct
x = 0.258256, y = 0.978572, out = 0.648420,  err = 47.573985 pct
x = 0.258256, y = 0.983886, out = 0.651941,  err = 47.514799 pct
x = 0.258256, y = 0.989228, out = 0.655481,  err = 47.455800 pct
x = 0.258256, y = 0.994599, out = 0.659040,  err = 47.396988 pct
x = 0.258256, y = 1.000000, out = 0.662618,  err = 47.338363 pct
x = 0.258256, y = 1.005430, out = 0.666216,  err = 47.279925 pct
x = 0.258256, y = 1.010889, out = 0.669834,  err = 47.221673 pct
x = 0.258256, y = 1.016378, out = 0.673471,  err = 47.163608 pct
x = 0.258256, y = 1.021897, out = 0.677128,  err = 47.105730 pct
x = 0.258256, y = 1.027446, out = 0.680805,  err = 47.048039 pct
x = 0.258256, y = 1.033025, out = 0.055481,  err = 95.703452 pct
x = 0.258256, y = 1.038634, out = 0.065622,  err = 94.940088 pct
x = 0.258256, y = 1.044274, out = 0.093307,  err = 92.836500 pct
x = 0.258256, y = 1.049944, out = 0.783735,  err = 40.090610 pct
x = 0.258256, y = 1.055645, out = 0.787990,  err = 40.026670 pct
x = 0.258256, y = 1.061377, out = 0.796571,  err = 39.636944 pct
x = 0.258256, y = 1.067140, out = 0.800896,  err = 39.573078 pct
x = 0.258256, y = 1.072935, out = 0.809618,  err = 39.180965 pct
x = 0.258256, y = 1.078761, out = 0.814014,  err = 39.117177 pct
x = 0.258256, y = 1.084618, out = 0.818434,  err = 39.053599 pct
x = 0.259659, y = 0.917004, out = 0.607624,  err = 48.360414 pct
x = 0.259659, y = 0.921983, out = 0.610923,  err = 48.298798 pct
x = 0.259659, y = 0.926990, out = 0.614240,  err = 48.237369 pct
x = 0.259659, y = 0.932023, out = 0.617576,  err = 48.176127 pct
x = 0.259659, y = 0.937084, out = 0.620929,  err = 48.115072 pct
x = 0.259659, y = 0.942172, out = 0.624300,  err = 48.054203 pct
x = 0.259659, y = 0.947288, out = 0.627690,  err = 47.993522 pct
x = 0.259659, y = 0.952432, out = 0.631099,  err = 47.933027 pct
x = 0.259659, y = 0.957603, out = 0.634525,  err = 47.872719 pct
x = 0.259659, y = 0.962803, out = 0.637971,  err = 47.812599 pct
x = 0.259659, y = 0.968031, out = 0.641435,  err = 47.752665 pct
x = 0.259659, y = 0.973287, out = 0.644918,  err = 47.692918 pct
x = 0.259659, y = 0.978572, out = 0.648420,  err = 47.633358 pct
x = 0.259659, y = 0.983886, out = 0.651941,  err = 47.573985 pct
x = 0.259659, y = 0.989228, out = 0.655481,  err = 47.514799 pct
x = 0.259659, y = 0.994599, out = 0.659040,  err = 47.455800 pct
x = 0.259659, y = 1.000000, out = 0.662618,  err = 47.396988 pct
x = 0.259659, y = 1.005430, out = 0.666216,  err = 47.338363 pct
x = 0.259659, y = 1.010889, out = 0.669834,  err = 47.279925 pct
x = 0.259659, y = 1.016378, out = 0.673471,  err = 47.221673 pct
x = 0.259659, y = 1.021897, out = 0.677128,  err = 47.163608 pct
x = 0.259659, y = 1.027446, out = 0.680805,  err = 47.105730 pct
x = 0.259659, y = 1.033025, out = 0.684501,  err = 47.048039 pct
x = 0.259659, y = 1.038634, out = 0.055782,  err = 95.703452 pct
x = 0.259659, y = 1.044274, out = 0.065978,  err = 94.940088 pct
x = 0.259659, y = 1.049944, out = 0.093813,  err = 92.836500 pct
x = 0.259659, y = 1.055645, out = 0.787990,  err = 40.090610 pct
x = 0.259659, y = 1.061377, out = 0.792269,  err = 40.026670 pct
x = 0.259659, y = 1.067140, out = 0.800896,  err = 39.636944 pct
x = 0.259659, y = 1.072935, out = 0.805245,  err = 39.573078 pct
x = 0.259659, y = 1.078761, out = 0.814014,  err = 39.180965 pct
x = 0.259659, y = 1.084618, out = 0.818434,  err = 39.117177 pct
x = 0.261068, y = 0.917004, out = 0.601078,  err = 48.977812 pct
x = 0.261068, y = 0.921983, out = 0.604342,  err = 48.916675 pct
x = 0.261068, y = 0.926990, out = 0.607624,  err = 48.855723 pct
x = 0.261068, y = 0.932023, out = 0.610923,  err = 48.794956 pct
x = 0.261068, y = 0.937084, out = 0.614240,  err = 48.734373 pct
x = 0.261068, y = 0.942172, out = 0.617576,  err = 48.673975 pct
x = 0.261068, y = 0.947288, out = 0.620929,  err = 48.613763 pct
x = 0.261068, y = 0.952432, out = 0.624300,  err = 48.553735 pct
x = 0.261068, y = 0.957603, out = 0.627690,  err = 48.493892 pct
x = 0.261068, y = 0.962803, out = 0.631099,  err = 48.434234 pct
x = 0.261068, y = 0.968031, out = 0.634525,  err = 48.374761 pct
x = 0.261068, y = 0.973287, out = 0.637971,  err = 48.315472 pct
x = 0.261068, y = 0.978572, out = 0.641435,  err = 48.256369 pct
x = 0.261068, y = 0.983886, out = 0.644918,  err = 48.197451 pct
x = 0.261068, y = 0.989228, out = 0.648420,  err = 48.138718 pct
x = 0.261068, y = 0.994599, out = 0.651941,  err = 48.080169 pct
x = 0.261068, y = 1.000000, out = 0.655481,  err = 48.021806 pct
x = 0.261068, y = 1.005430, out = 0.659040,  err = 47.963627 pct
x = 0.261068, y = 1.010889, out = 0.662618,  err = 47.905634 pct
x = 0.261068, y = 1.016378, out = 0.666216,  err = 47.847825 pct
x = 0.261068, y = 1.021897, out = 0.669834,  err = 47.790201 pct
x = 0.261068, y = 1.027446, out = 0.673471,  err = 47.732761 pct
x = 0.261068, y = 1.033025, out = 0.677128,  err = 47.675507 pct
x = 0.261068, y = 1.038634, out = 0.680805,  err = 47.618437 pct
x = 0.261068, y = 1.044274, out = 0.056085,  err = 95.703452 pct
x = 0.261068, y = 1.049944, out = 0.066336,  err = 94.940088 pct
x = 0.261068, y = 1.055645, out = 0.094323,  err = 92.836500 pct
x = 0.261068, y = 1.061377, out = 0.792269,  err = 40.090610 pct
x = 0.261068, y = 1.067140, out = 0.796571,  err = 40.026670 pct
x = 0.261068, y = 1.072935, out = 0.805245,  err = 39.636944 pct
x = 0.261068, y = 1.078761, out = 0.809618,  err = 39.573078 pct
x = 0.261068, y = 1.084618, out = 0.818434,  err = 39.180965 pct
